t,n,dt,Kinetic Energy,Electric Energy,Total Energy
0,0,0.111367,0.0625,0.00827957,0.0707796
0.111367,1,0.111367,0.0625,0.00788607,0.0703861
0.222733,2,0.111367,0.0624031,0.00764489,0.070048
0.3341,3,0.111367,0.0622097,0.0075557,0.0697654
0.445466,4,0.111367,0.0619204,0.00761769,0.069538
0.556833,5,0.111367,0.0615359,0.00782957,0.0693655
0.668199,6,0.111367,0.0610576,0.00818961,0.0692472
0.779566,7,0.111367,0.0604869,0.0086956,0.0691825
0.890932,8,0.111367,0.0598256,0.0085159,0.0683415
1.0023,9,0.111367,0.0590758,0.00839233,0.0674681
1.11367,10,0.111367,0.0582397,0.00841197,0.0666516
1.22503,11,0.111367,0.0573199,0.0085716,0.0658915
1.3364,12,0.111367,0.0563193,0.00886759,0.0651869
1.44777,13,0.111367,0.0552411,0.00929591,0.064537
1.55913,14,0.111367,0.0540885,0.00985215,0.0639406
1.6705,15,0.111367,0.0528651,0.0100949,0.06296
1.78186,16,0.111367,0.0515747,0.0100392,0.0616139
1.89323,17,0.111367,0.0502213,0.0101073,0.0603286
2.0046,18,0.111367,0.0488092,0.0102941,0.0591033
2.11596,19,0.111367,0.0473426,0.0105943,0.0579369
2.22733,20,0.111367,0.0458262,0.0110022,0.0568284
2.3387,21,0.111367,0.0442645,0.0115118,0.0557763
2.45006,22,0.111367,0.0426626,0.0121169,0.0547795
2.56143,23,0.111367,0.0410253,0.0125242,0.0535495
2.6728,24,0.111367,0.0393577,0.0125558,0.0519136
2.78416,25,0.111367,0.037665,0.0126795,0.0503445
2.89553,26,0.111367,0.0359525,0.0128889,0.0488413
3.0069,27,0.111367,0.0342253,0.0131776,0.0474029
3.11826,28,0.111367,0.032489,0.013539,0.046028
3.22963,29,0.111367,0.0307488,0.0139665,0.0447154
3.341,30,0.111367,0.0290103,0.0144535,0.0434638
3.45236,31,0.111367,0.0272786,0.0149932,0.0422718
3.56373,32,0.111367,0.0255594,0.0155788,0.0411382
3.6751,33,0.111367,0.0238577,0.0158814,0.0397392
3.78646,34,0.111367,0.022179,0.0159795,0.0381586
3.89783,35,0.111367,0.0205285,0.0161249,0.0366534
4.0092,36,0.111367,0.0189112,0.0163114,0.0352226
4.12056,37,0.111367,0.0173321,0.0165331,0.0338652
4.23193,38,0.111367,0.0157963,0.0167841,0.0325804
4.3433,39,0.111367,0.0143083,0.0170588,0.0313671
4.45466,40,0.111367,0.0128729,0.0173515,0.0302244
4.56603,41,0.111367,0.0114945,0.0176569,0.0291514
4.6774,42,0.111367,0.0101774,0.0179698,0.0281472
4.78876,43,0.111367,0.00892557,0.0182854,0.0272109
4.90013,44,0.111367,0.00774298,0.0185988,0.0263418
5.0115,45,0.111367,0.00663329,0.0189057,0.025539
5.12286,46,0.111367,0.00559993,0.0192019,0.0248019
5.23423,47,0.111367,0.00464611,0.0194836,0.0241297
5.34559,48,0.111367,0.00377477,0.0197472,0.023522
5.45696,49,0.111367,0.00298863,0.0199895,0.0229782
5.56833,50,0.111367,0.00229012,0.0201257,0.0224158
5.67969,51,0.111367,0.0016814,0.0201629,0.0218443
5.79106,52,0.111367,0.00116437,0.020197,0.0213614
5.90243,53,0.111367,0.000740622,0.0202262,0.0209669
6.01379,54,0.111367,0.000411472,0.0202492,0.0206607
6.12516,55,0.111367,0.000177941,0.0202648,0.0204428
6.23653,56,0.111367,4.07526e-05,0.0202725,0.0203132
6.34789,57,0.111367,3.32746e-07,0.0202718,0.0202721
6.45926,58,0.111367,5.68065e-05,0.0202628,0.0203196
6.57063,59,0.111367,0.000209999,0.0202459,0.0204559
6.68199,60,0.111367,0.000459435,0.0202218,0.0206812
6.79336,61,0.111367,0.000804341,0.0201916,0.020996
6.90473,62,0.111367,0.00124365,0.0201569,0.0214005
7.01609,63,0.111367,0.00177599,0.0201193,0.0218953
7.12746,64,0.111367,0.00239973,0.019951,0.0223507
7.23883,65,0.111367,0.00311292,0.0197049,0.0228179
7.35019,66,0.111367,0.00391336,0.0194381,0.0233515
7.46156,67,0.111367,0.00479856,0.0191538,0.0239523
7.57293,68,0.111367,0.00576577,0.0188555,0.0246213
7.68429,69,0.111367,0.00681201,0.0185472,0.0253592
7.79566,70,0.111367,0.00793403,0.0182331,0.0261671
