t,n,dt,Kinetic Energy,Electric Energy,Total Energy
0,0,0.019687,0.0016,4.71103e-31,0.0016
0.019687,1,0.019687,0.0016,2.40602e-07,0.00160024
0.039374,2,0.019687,0.00159754,9.61671e-07,0.00159851
0.059061,3,0.019687,0.00159264,2.16099e-06,0.0015948
0.078748,4,0.019687,0.0015853,3.83488e-06,0.00158914
0.0984351,5,0.019687,0.00157556,5.9782e-06,0.00158153
0.118122,6,0.019687,0.00156343,8.58438e-06,0.00157201
0.137809,7,0.019687,0.00154896,1.16454e-05,0.0015606
0.157496,8,0.019687,0.00153218,1.51519e-05,0.00154734
0.177183,9,0.019687,0.00151317,1.9093e-05,0.00153226
0.19687,10,0.019687,0.00149196,2.34568e-05,0.00151542
0.216557,11,0.019687,0.00146863,2.82297e-05,0.00149686
0.236244,12,0.019687,0.00144324,3.33972e-05,0.00147664
0.255931,13,0.019687,0.00141588,3.89433e-05,0.00145483
0.275618,14,0.019687,0.00138664,4.4851e-05,0.00143149
0.295305,15,0.019687,0.00135559,5.11023e-05,0.00140669
0.314992,16,0.019687,0.00132283,5.76779e-05,0.00138051
0.334679,17,0.019687,0.00128847,6.45576e-05,0.00135303
0.354366,18,0.019687,0.00125261,7.17203e-05,0.00132433
0.374053,19,0.019687,0.00121536,7.9144e-05,0.00129451
0.39374,20,0.019687,0.00117684,8.68059e-05,0.00126365
0.413427,21,0.019687,0.00113716,9.46825e-05,0.00123184
0.433114,22,0.019687,0.00109645,0.00010275,0.0011992
0.452801,23,0.019687,0.00105482,0.000110982,0.00116581
0.472488,24,0.019687,0.00101242,0.000119356,0.00113177
0.492175,25,0.019687,0.000969361,0.000127844,0.00109721
0.511862,26,0.019687,0.000925784,0.000136421,0.0010622
0.531549,27,0.019687,0.000881822,0.00014506,0.00102688
0.551236,28,0.019687,0.000837608,0.000153735,0.000991343
0.570923,29,0.019687,0.00079328,0.000162419,0.000955699
0.59061,30,0.019687,0.000748973,0.000171085,0.000920058
0.610297,31,0.019687,0.000704823,0.000179708,0.000884531
0.629984,32,0.019687,0.000660965,0.00018826,0.000849225
0.649671,33,0.019687,0.000617535,0.000196715,0.000814251
0.669358,34,0.019687,0.000574666,0.000205048,0.000779714
0.689045,35,0.019687,0.000532489,0.000213232,0.000745721
0.708732,36,0.019687,0.000491134,0.000221243,0.000712376
0.728419,37,0.019687,0.000450727,0.000229055,0.000679783
0.748106,38,0.019687,0.000411394,0.000236646,0.00064804
0.767793,39,0.019687,0.000373254,0.000243991,0.000617245
0.78748,40,0.019687,0.000336425,0.000251069,0.000587493
0.807168,41,0.019687,0.000301019,0.000257856,0.000558875
0.826855,42,0.019687,0.000267146,0.000264333,0.00053148
0.846542,43,0.019687,0.00023491,0.00027048,0.00050539
0.866229,44,0.019687,0.000204409,0.000276278,0.000480687
0.885916,45,0.019687,0.000175737,0.000281708,0.000457446
0.905603,46,0.019687,0.000148982,0.000286755,0.000435738
0.92529,47,0.019687,0.000124227,0.000291403,0.00041563
0.944977,48,0.019687,0.000101547,0.000295637,0.000397184
0.964664,49,0.019687,8.10121e-05,0.000299445,0.000380457
0.984351,50,0.019687,6.26851e-05,0.000302814,0.000365499
1.00404,51,0.019687,4.66223e-05,0.000305735,0.000352358
1.02372,52,0.019687,3.28731e-05,0.000308199,0.000341072
1.04341,53,0.019687,2.14797e-05,0.000310197,0.000331677
1.0631,54,0.019687,1.24772e-05,0.000311725,0.000324202
1.08279,55,0.019687,5.893e-06,0.000312776,0.000318669
1.10247,56,0.019687,1.7475e-06,0.000313349,0.000315096
1.12216,57,0.019687,5.33774e-08,0.00031344,0.000313494
1.14185,58,0.019687,8.15837e-07,0.000313051,0.000313866
1.16153,59,0.019687,4.03254e-06,0.000312181,0.000316214
1.18122,60,0.019687,9.69361e-06,0.000310834,0.000320528
1.20091,61,0.019687,1.77817e-05,0.000309014,0.000326796
1.22059,62,0.019687,2.82719e-05,0.000306727,0.000334999
1.24028,63,0.019687,4.11321e-05,0.000303979,0.000345111
1.25997,64,0.019687,5.63227e-05,0.000300779,0.000357101
1.27966,65,0.019687,7.37972e-05,0.000297136,0.000370934
1.29934,66,0.019687,9.35018e-05,0.000293063,0.000386565
1.31903,67,0.019687,0.000115376,0.000288571,0.000403947
1.33872,68,0.019687,0.000139353,0.000283674,0.000423027
1.3584,69,0.019687,0.000165359,0.000278388,0.000443747
1.37809,70,0.019687,0.000193314,0.000272728,0.000466041
1.39778,71,0.019687,0.000223132,0.000266712,0.000489843
1.41746,72,0.019687,0.000254722,0.000260358,0.000515079
1.43715,73,0.019687,0.000287986,0.000253686,0.000541672
1.45684,74,0.019687,0.000322823,0.000246716,0.000569539
1.47653,75,0.019687,0.000359126,0.00023947,0.000598596
1.49621,76,0.019687,0.000396783,0.000231971,0.000628753
1.5159,77,0.019687,0.000435678,0.00022424,0.000659918
1.53559,78,0.019687,0.000475692,0.000216302,0.000691994
1.55527,79,0.019687,0.000516703,0.000208181,0.000724884
1.57496,80,0.019687,0.000558584,0.000199902,0.000758486
1.59465,81,0.019687,0.000601207,0.00019149,0.000792697
1.61434,82,0.019687,0.000644441,0.000182972,0.000827413
1.63402,83,0.019687,0.000688153,0.000174373,0.000862526
1.65371,84,0.019687,0.000732209,0.00016572,0.000897929
1.6734,85,0.019687,0.000776474,0.00015704,0.000933513
1.69308,86,0.019687,0.000820811,0.000148358,0.000969169
1.71277,87,0.019687,0.000865085,0.000139702,0.00100479
1.73246,88,0.019687,0.00090916,0.000131099,0.00104026
1.75214,89,0.019687,0.0009529,0.000122574,0.00107547
1.77183,90,0.019687,0.000996172,0.000114154,0.00111033
1.79152,91,0.019687,0.00103884,0.000105865,0.00114471
1.81121,92,0.019687,0.00108078,9.77325e-05,0.00117851
1.83089,93,0.019687,0.00112185,8.97807e-05,0.00121163
1.85058,94,0.019687,0.00116194,8.20345e-05,0.00124398
1.87027,95,0.019687,0.00120092,7.45177e-05,0.00127544
1.88995,96,0.019687,0.00123867,6.72533e-05,0.00130592
1.90964,97,0.019687,0.00127507,6.02636e-05,0.00133533
1.92933,98,0.019687,0.00131001,5.35701e-05,0.00136358
