t,n,dt,Kinetic Energy,Electric Energy,Total Energy
0,0,0.39374,0.0016,4.71103e-31,0.0016
0.39374,1,0.39374,0.0016,9.6241e-05,0.00169624
0.78748,2,0.39374,0.000768209,0.000275823,0.00104403
1.18122,3,0.39374,4.7918e-05,0.000335095,0.000383013
1.57496,4,0.39374,0.000255981,0.000206841,0.000462822
1.9687,5,0.39374,0.00115646,3.6509e-05,0.00119297
2.36244,6,0.39374,0.00172818,1.72634e-05,0.00174545
2.75618,7,0.39374,0.0013228,0.00017093,0.00149373
3.14992,8,0.39374,0.00040003,0.000323243,0.000723272
3.54366,9,0.39374,6.31819e-06,0.000301472,0.00030779
3.9374,10,0.39374,0.000588141,0.000130304,0.000718445
4.33114,11,0.39374,0.00148567,3.84873e-06,0.00148952
4.72488,12,0.39374,0.00168107,6.55109e-05,0.00174658
5.11862,13,0.39374,0.000952738,0.000245363,0.0011981
5.51236,14,0.39374,0.000126646,0.000339447,0.000466094
5.9061,15,0.39374,0.000139626,0.00024107,0.000380696
6.29984,16,0.39374,0.000976972,6.17967e-05,0.00103877
6.69358,17,0.39374,0.00168911,4.93249e-06,0.00169404
7.08732,18,0.39374,0.00146846,0.000134964,0.00160342
7.48106,19,0.39374,0.000565238,0.000304429,0.000869667
7.8748,20,0.39374,3.73371e-06,0.000321146,0.00032488
8.26855,21,0.39374,0.000420701,0.000166155,0.000586856
8.66229,22,0.39374,0.00134327,1.52204e-05,0.00135849
9.05603,23,0.39374,0.00172519,3.95073e-05,0.0017647
9.44977,24,0.39374,0.00113336,0.000211474,0.00134483
9.84351,25,0.39374,0.000238932,0.000336104,0.000575036
10.2372,26,0.39374,5.62406e-05,0.000272064,0.000328304
10.631,27,0.39374,0.000792479,9.19795e-05,0.000884459
11.0247,28,0.39374,0.00161273,7.55821e-08,0.00161281
11.4185,29,0.39374,0.00158681,0.000100575,0.00168739
11.8122,30,0.39374,0.000744113,0.000279507,0.00102362
12.2059,31,0.39374,4.02819e-05,0.000333954,0.000374236
12.5997,32,0.39374,0.000273484,0.000202168,0.000475652
12.9934,33,0.39374,0.00117924,3.35993e-05,0.00121284
13.3872,34,0.39374,0.00173038,1.94095e-05,0.00174979
13.7809,35,0.39374,0.00130188,0.000175691,0.00147757
14.1746,36,0.39374,0.000379684,0.000325215,0.000704899
14.5684,37,0.39374,9.60733e-06,0.000298417,0.000308024
14.9621,38,0.39374,0.00061135,0.000125689,0.000737038
15.3559,39,0.39374,0.00150252,2.91295e-06,0.00150543
15.7496,40,0.39374,0.00167251,6.93228e-05,0.00174183
16.1434,41,0.39374,0.000928543,0.000249607,0.00117815
16.5371,42,0.39374,0.000114305,0.000339314,0.000453619
16.9308,43,0.39374,0.000153166,0.000236711,0.000389876
17.3246,44,0.39374,0.00100104,5.81519e-05,0.00105919
17.7183,45,0.39374,0.00169639,6.12896e-06,0.00170252
18.1121,46,0.39374,0.00145066,0.000139638,0.0015903
18.5058,47,0.39374,0.000542517,0.000307275,0.000849791
18.8995,48,0.39374,1.84104e-06,0.000318934,0.000320775
19.2933,49,0.39374,0.000441798,0.000161396,0.000603194
19.687,50,0.39374,0.00136347,1.33159e-05,0.00137679
20.0808,51,0.39374,0.00172166,4.26243e-05,0.00176428
20.4745,52,0.39374,0.00111016,0.000216084,0.00132625
20.8682,53,0.39374,0.000222447,0.000336983,0.00055943
21.262,54,0.39374,6.52042e-05,0.000268216,0.00033342
21.6557,55,0.39374,0.000816743,8.77649e-05,0.000904508
22.0495,56,0.39374,0.00162477,2.67912e-07,0.00162504
22.4432,57,0.39374,0.00157295,0.000104949,0.0016779
22.8369,58,0.39374,0.000720046,0.000283097,0.00100314
23.2307,59,0.39374,3.32941e-05,0.000332685,0.000365979
23.6244,60,0.39374,0.000291515,0.000197481,0.000488995
24.0182,61,0.39374,0.00120189,3.08128e-05,0.0012327
