t,n,dt,Kinetic Energy,Electric Energy,Total Energy
0,0,0.078748,1.49831,0.0405127,1.53882
0.078748,1,0.078748,1.48825,0.0411789,1.52943
0.157496,2,0.078748,1.48951,0.0406929,1.53021
0.236244,3,0.078748,1.48999,0.0407596,1.53075
0.314992,4,0.078748,1.48867,0.0414081,1.53008
0.39374,5,0.078748,1.48554,0.040673,1.52622
0.472488,6,0.078748,1.48998,0.0387519,1.52873
0.551236,7,0.078748,1.50297,0.0360097,1.53898
0.629984,8,0.078748,1.52314,0.0319038,1.55504
0.708732,9,0.078748,1.5414,0.0284143,1.56982
0.78748,10,0.078748,1.5577,0.0255667,1.58327
0.866229,11,0.078748,1.57199,0.022707,1.59469
0.944977,12,0.078748,1.58421,0.0201323,1.60435
1.02372,13,0.078748,1.59434,0.0182898,1.61263
1.10247,14,0.078748,1.60234,0.0168252,1.61917
1.18122,15,0.078748,1.60819,0.0156168,1.62381
1.25997,16,0.078748,1.61187,0.0151546,1.62703
1.33872,17,0.078748,1.61337,0.0153957,1.62876
1.41746,18,0.078748,1.61268,0.0155911,1.62827
1.49621,19,0.078748,1.6098,0.0163339,1.62614
1.57496,20,0.078748,1.60481,0.0171712,1.62198
1.65371,21,0.078748,1.5979,0.0182044,1.61611
1.73246,22,0.078748,1.58916,0.0191904,1.60835
1.81121,23,0.078748,1.58273,0.0200698,1.6028
1.88995,24,0.078748,1.58177,0.019648,1.60141
1.9687,25,0.078748,1.58909,0.017848,1.60694
2.04745,26,0.078748,1.59932,0.0161875,1.61551
2.1262,27,0.078748,1.60969,0.0144409,1.62413
2.20495,28,0.078748,1.61761,0.0128864,1.63049
2.28369,29,0.078748,1.62303,0.0123511,1.63538
2.36244,30,0.078748,1.6259,0.0128512,1.63875
2.44119,31,0.078748,1.62619,0.0138022,1.63999
2.51994,32,0.078748,1.62387,0.0155757,1.63945
2.59869,33,0.078748,1.61894,0.0184054,1.63734
2.67743,34,0.078748,1.61137,0.0200509,1.63142
2.75618,35,0.078748,1.60164,0.0217696,1.62341
2.83493,36,0.078748,1.5898,0.0242306,1.61403
2.91368,37,0.078748,1.57587,0.0274207,1.60329
2.99243,38,0.078748,1.55989,0.029598,1.58949
3.07117,39,0.078748,1.54932,0.0308676,1.58018
3.14992,40,0.078748,1.54813,0.0300485,1.57818
3.22867,41,0.078748,1.5573,0.0191713,1.57647
3.30742,42,0.078748,1.56532,0.0197211,1.58504
3.38617,43,0.078748,1.5688,0.0257169,1.59452
3.46491,44,0.078748,1.57238,0.0251477,1.59753
3.54366,45,0.078748,1.57392,0.024918,1.59884
3.62241,46,0.078748,1.57343,0.0252441,1.59867
3.70116,47,0.078748,1.57229,0.0256335,1.59793
3.77991,48,0.078748,1.57363,0.0240896,1.59772
3.85865,49,0.078748,1.58173,0.0220807,1.60381
3.9374,50,0.078748,1.59522,0.0195422,1.61476
4.01615,51,0.078748,1.61129,0.0162116,1.6275
4.0949,52,0.078748,1.62528,0.0136461,1.63893
4.17365,53,0.078748,1.63708,0.0118591,1.64894
4.25239,54,0.078748,1.64665,0.00998923,1.65664
4.33114,55,0.078748,1.65396,0.00845933,1.66242
4.40989,56,0.078748,1.65899,0.00771661,1.6667
4.48864,57,0.078748,1.66171,0.00753591,1.66925
4.56739,58,0.078748,1.66213,0.00754348,1.66968
4.64613,59,0.078748,1.66025,0.00833969,1.66858
4.72488,60,0.078748,1.65605,0.00959935,1.66565
4.80363,61,0.078748,1.64957,0.0107814,1.66035
4.88238,62,0.078748,1.64082,0.0126181,1.65344
4.96113,63,0.078748,1.62983,0.0152323,1.64506
5.03988,64,0.078748,1.61663,0.0182133,1.63484
5.11862,65,0.078748,1.60126,0.0205597,1.62182
5.19737,66,0.078748,1.59093,0.0220874,1.61302
5.27612,67,0.078748,1.58844,0.0222044,1.61065
5.35487,68,0.078748,1.59438,0.0208395,1.61522
5.43362,69,0.078748,1.59905,0.0201184,1.61917
5.51236,70,0.078748,1.60162,0.0201498,1.62177
5.59111,71,0.078748,1.60207,0.0201654,1.62223
5.66986,72,0.078748,1.60039,0.0206399,1.62103
5.74861,73,0.078748,1.59661,0.0215703,1.61818
5.82736,74,0.078748,1.59071,0.0227493,1.61346
5.9061,75,0.078748,1.58274,0.0238451,1.60658
5.98485,76,0.078748,1.5767,0.0245618,1.60126
6.0636,77,0.078748,1.57788,0.0236986,1.60157
6.14235,78,0.078748,1.59024,0.0210129,1.61126
6.2211,79,0.078748,1.60525,0.0184205,1.62367
6.29984,80,0.078748,1.61881,0.0162014,1.63501
6.37859,81,0.078748,1.6302,0.0139021,1.6441
6.45734,82,0.078748,1.63938,0.0121201,1.6515
6.53609,83,0.078748,1.64633,0.0111076,1.65744
6.61484,84,0.078748,1.65103,0.010386,1.66141
6.69358,85,0.078748,1.65345,0.0100958,1.66355
6.77233,86,0.078748,1.6536,0.00907718,1.66268
6.85108,87,0.078748,1.65252,0.00750986,1.66003
6.92983,88,0.078748,1.64788,0.0110539,1.65893
7.00858,89,0.078748,1.63959,0.0147569,1.65434
7.08732,90,0.078748,1.63067,0.0169751,1.64764
7.16607,91,0.078748,1.61979,0.0189779,1.63877
7.24482,92,0.078748,1.6093,0.0203359,1.62964
7.32357,93,0.078748,1.60361,0.021016,1.62463
7.40232,94,0.078748,1.60438,0.0201578,1.62454
7.48106,95,0.078748,1.60979,0.0188507,1.62864
7.55981,96,0.078748,1.61447,0.0181087,1.63258
7.63856,97,0.078748,1.61699,0.0180015,1.63499
7.71731,98,0.078748,1.61735,0.0179325,1.63528
7.79606,99,0.078748,1.61554,0.0186197,1.63416
7.8748,100,0.078748,1.61156,0.0198463,1.63141
7.95355,101,0.078748,1.60544,0.0209692,1.62641
8.0323,102,0.078748,1.59719,0.0226714,1.61986
8.11105,103,0.078748,1.58684,0.0248935,1.61173
8.1898,104,0.078748,1.57441,0.0273986,1.60181
8.26855,105,0.078748,1.55995,0.029939,1.58989
8.34729,106,0.078748,1.54549,0.0323612,1.57785
8.42604,107,0.078748,1.53537,0.0337756,1.56915
8.50479,108,0.078748,1.53467,0.0329395,1.5676
8.58354,109,0.078748,1.53899,0.0319756,1.57096
8.66229,110,0.078748,1.54434,0.0313108,1.57565
8.74103,111,0.078748,1.54775,0.0305274,1.57828
8.81978,112,0.078748,1.54921,0.0304624,1.57967
8.89853,113,0.078748,1.54871,0.0310523,1.57977
8.97728,114,0.078748,1.54676,0.0306972,1.57745
9.05603,115,0.078748,1.54951,0.0291144,1.57862
9.13477,116,0.078748,1.56043,0.026749,1.58718
9.21352,117,0.078748,1.57925,0.0230705,1.60232
9.29227,118,0.078748,1.59826,0.0194806,1.61774
9.37102,119,0.078748,1.61545,0.0163031,1.63175
9.44977,120,0.078748,1.63048,0.0136272,1.64411
9.52851,121,0.078748,1.6433,0.0110157,1.65432
9.60726,122,0.078748,1.65388,0.00915525,1.66303
9.68601,123,0.078748,1.66218,0.00784089,1.67002
9.76476,124,0.078748,1.66817,0.00658882,1.67476
9.84351,125,0.078748,1.67184,0.00584824,1.67768
9.92225,126,0.078748,1.67317,0.00586667,1.67904
10.001,127,0.078748,1.67216,0.0065071,1.67867
10.0798,128,0.078748,1.66882,0.00723748,1.67606
10.1585,129,0.078748,1.66315,0.00872407,1.67188
10.2372,130,0.078748,1.65518,0.010965,1.66614
10.316,131,0.078748,1.64492,0.0130976,1.65802
10.3947,132,0.078748,1.63241,0.0129828,1.64539
10.4735,133,0.078748,1.61964,0.0160073,1.63564
10.5522,134,0.078748,1.6022,0.0252576,1.62746
10.631,135,0.078748,1.58277,0.0286327,1.6114
10.7097,136,0.078748,1.56952,0.0305408,1.60006
10.7885,137,0.078748,1.56421,0.0315591,1.59576
10.8672,138,0.078748,1.56743,0.0307987,1.59823
10.946,139,0.078748,1.56884,0.0306674,1.59951
11.0247,140,0.078748,1.56823,0.0309286,1.59916
11.1035,141,0.078748,1.56561,0.0313031,1.59692
11.1822,142,0.078748,1.56099,0.0321277,1.59312
11.261,143,0.078748,1.55438,0.0336638,1.58804
11.3397,144,0.078748,1.5458,0.0355272,1.58132
11.4185,145,0.078748,1.53527,0.0369252,1.5722
11.4972,146,0.078748,1.52822,0.0377166,1.56593
11.576,147,0.078748,1.52868,0.037127,1.56581
11.6547,148,0.078748,1.53908,0.0348286,1.57391
11.7335,149,0.078748,1.55074,0.0327313,1.58347
11.8122,150,0.078748,1.56079,0.0311209,1.59191
11.891,151,0.078748,1.56885,0.0291409,1.59799
11.9697,152,0.078748,1.57489,0.0279777,1.60287
12.0485,153,0.078748,1.57894,0.0276286,1.60657
12.1272,154,0.078748,1.58105,0.0274524,1.6085
12.2059,155,0.078748,1.58125,0.0275473,1.60879
12.2847,156,0.078748,1.58157,0.0278598,1.60943
12.3634,157,0.078748,1.58464,0.0272159,1.61186
12.4422,158,0.078748,1.59531,0.0248181,1.62012
12.5209,159,0.078748,1.6111,0.0222784,1.63338
12.5997,160,0.078748,1.62911,0.0182804,1.64739
12.6784,161,0.078748,1.64491,0.0144153,1.65932
12.7572,162,0.078748,1.6584,0.0114721,1.66987
12.8359,163,0.078748,1.66951,0.00947335,1.67898
12.9147,164,0.078748,1.67815,0.00785896,1.686
12.9934,165,0.078748,1.68424,0.00699315,1.69123
13.0722,166,0.078748,1.68773,0.00680364,1.69454
13.1509,167,0.078748,1.68856,0.00744987,1.69601
