t,n,j,x_grid,rho,phi,E_j,Q_net
0,0,0,-3.14159,0.0625,0.0837326,1.06018e-16,7.35722e-17
0,0,1,-2.94524,0.0625,0.0825278,0.0122718,7.35722e-17
0,0,2,-2.74889,0.0625,0.0789135,0.0245437,7.35722e-17
0,0,3,-2.55254,0.0625,0.0728895,0.0368155,7.35722e-17
0,0,4,-2.35619,0.0625,0.064456,0.0490874,7.35722e-17
0,0,5,-2.15984,0.0625,0.053613,0.0613592,7.35722e-17
0,0,6,-1.9635,0.0625,0.0403603,0.0736311,7.35722e-17
0,0,7,-1.76715,0.0625,0.0246981,0.0859029,7.35722e-17
0,0,8,-1.5708,0.0625,0.00662632,0.0981748,7.35722e-17
0,0,9,-1.37445,0.0625,-0.013855,0.110447,7.35722e-17
0,0,10,-1.1781,0.0625,-0.036746,0.122718,7.35722e-17
0,0,11,-0.981748,0.0625,-0.0620465,0.13499,7.35722e-17
0,0,12,-0.785398,-0.9375,-0.0897565,0.0490874,7.35722e-17
0,0,13,-0.589049,0.0625,-0.081323,-0.0368155,7.35722e-17
0,0,14,-0.392699,0.0625,-0.0752991,-0.0245437,7.35722e-17
0,0,15,-0.19635,0.0625,-0.0716847,-0.0122718,7.35722e-17
0,0,16,0,0.0625,-0.07048,7.0679e-17,7.35722e-17
0,0,17,0.19635,0.0625,-0.0716847,0.0122718,7.35722e-17
0,0,18,0.392699,0.0625,-0.0752991,0.0245437,7.35722e-17
0,0,19,0.589049,0.0625,-0.081323,0.0368155,7.35722e-17
0,0,20,0.785398,-0.9375,-0.0897565,-0.0490874,7.35722e-17
0,0,21,0.981748,0.0625,-0.0620465,-0.13499,7.35722e-17
0,0,22,1.1781,0.0625,-0.036746,-0.122718,7.35722e-17
0,0,23,1.37445,0.0625,-0.013855,-0.110447,7.35722e-17
0,0,24,1.5708,0.0625,0.00662632,-0.0981748,7.35722e-17
0,0,25,1.76715,0.0625,0.0246981,-0.0859029,7.35722e-17
0,0,26,1.9635,0.0625,0.0403603,-0.0736311,7.35722e-17
0,0,27,2.15984,0.0625,0.053613,-0.0613592,7.35722e-17
0,0,28,2.35619,0.0625,0.064456,-0.0490874,7.35722e-17
0,0,29,2.55254,0.0625,0.0728895,-0.0368155,7.35722e-17
0,0,30,2.74889,0.0625,0.0789135,-0.0245437,7.35722e-17
0,0,31,2.94524,0.0625,0.0825278,-0.0122718,7.35722e-17
0,0,32,3.14159,0.0625,0.0837326,1.06018e-16,7.35722e-17
0.111367,1,0,-3.14159,0.0625,0.0837158,-1.41358e-16,5.44979e-18
0.111367,1,1,-2.94524,0.0625,0.082511,0.0122718,5.44979e-18
0.111367,1,2,-2.74889,0.0625,0.0788967,0.0245437,5.44979e-18
0.111367,1,3,-2.55254,0.0625,0.0728727,0.0368155,5.44979e-18
0.111367,1,4,-2.35619,0.0625,0.0644392,0.0490874,5.44979e-18
0.111367,1,5,-2.15984,0.0625,0.0535962,0.0613592,5.44979e-18
0.111367,1,6,-1.9635,0.0625,0.0403435,0.0736311,5.44979e-18
0.111367,1,7,-1.76715,0.0625,0.0246813,0.0859029,5.44979e-18
0.111367,1,8,-1.5708,0.0625,0.00660951,0.0981748,5.44979e-18
