t,n,j,x_grid,rho,phi,E_j,Q_net
0,0,0,-3.14159,-4.44089e-15,-1.2172e-16,1.30795e-16,-8.71967e-17
0,0,1,-2.94524,0,-6.17962e-17,-3.05188e-16,-8.71967e-17
0,0,2,-2.74889,4.44089e-15,-1.87261e-18,1.30795e-16,-8.71967e-17
0,0,3,-2.55254,-2.22045e-15,-1.13159e-16,3.48787e-16,-8.71967e-17
0,0,4,-2.35619,-2.22045e-15,-1.38841e-16,-8.71967e-17,-8.71967e-17
0,0,5,-2.15984,0,-7.89173e-17,-3.05188e-16,-8.71967e-17
0,0,6,-1.9635,2.22045e-15,-1.89936e-17,-8.71967e-17,-8.71967e-17
0,0,7,-1.76715,-1.33227e-15,-4.46752e-17,-1.25551e-31,-8.71967e-17
0,0,8,-1.5708,1.11022e-15,-1.89936e-17,-2.17992e-17,-8.71967e-17
0,0,9,-1.37445,-1.33227e-15,-3.61147e-17,-4.35984e-17,-8.71967e-17
0,0,10,-1.1781,3.33067e-15,-1.87261e-18,1.52594e-16,-8.71967e-17
0,0,11,-0.981748,-2.22045e-15,-9.60383e-17,2.6159e-16,-8.71967e-17
0,0,12,-0.785398,-2.22045e-15,-1.04599e-16,-1.74393e-16,-8.71967e-17
0,0,13,-0.589049,0,-2.75542e-17,-3.92385e-16,-8.71967e-17
0,0,14,-0.392699,4.44089e-15,4.94905e-17,4.35984e-17,-8.71967e-17
0,0,15,-0.19635,-2.22045e-15,-4.46752e-17,2.6159e-16,-8.71967e-17
0,0,16,0,-2.22045e-15,-5.32357e-17,-1.74393e-16,-8.71967e-17
0,0,17,0.19635,0,2.38089e-17,-3.92385e-16,-8.71967e-17
0,0,18,0.392699,4.44089e-15,1.00854e-16,4.35984e-17,-8.71967e-17
0,0,19,0.589049,-2.22045e-15,6.6879e-18,2.6159e-16,-8.71967e-17
0,0,20,0.785398,-4.44089e-15,-1.87261e-18,-3.92385e-16,-8.71967e-17
0,0,21,0.981748,6.66134e-15,1.60777e-16,-1.74393e-16,-8.71967e-17
0,0,22,1.1781,2.22045e-15,6.66115e-17,6.97574e-16,-8.71967e-17
0,0,23,1.37445,-2.22045e-15,-1.13159e-16,6.97574e-16,-8.71967e-17
0,0,24,1.5708,-6.66134e-15,-2.07325e-16,-1.74393e-16,-8.71967e-17
0,0,25,1.76715,-2.22045e-15,-4.46752e-17,-1.04636e-15,-8.71967e-17
0,0,26,1.9635,6.66134e-15,2.0358e-16,-6.10377e-16,-8.71967e-17
0,0,27,2.15984,2.22045e-15,1.95019e-16,2.6159e-16,-8.71967e-17
0,0,28,2.35619,-6.66134e-15,1.00854e-16,-1.74393e-16,-8.71967e-17
0,0,29,2.55254,6.66134e-15,2.63503e-16,-1.74393e-16,-8.71967e-17
0,0,30,2.74889,2.22045e-15,1.69338e-16,6.97574e-16,-8.71967e-17
0,0,31,2.94524,-2.22045e-15,-1.04331e-17,7.41172e-16,-8.71967e-17
0,0,32,3.14159,-4.44089e-15,-1.2172e-16,1.30795e-16,-8.71967e-17
0.019687,1,0,-3.14159,-0.000392635,-0.000393898,-1.09401e-15,2.39791e-15
