t,n,j,x_grid,rho,phi,E_j,Q_net
0,0,0,-3.14159,0.125,-0,0.183248,-1.63494e-16
0,0,1,-2.94524,0.125,-0.0383902,0.207792,-1.63494e-16
0,0,2,-2.74889,0.112567,-0.0815996,0.231115,-1.63494e-16
0,0,3,-2.55254,-1.61887,-0.129149,0.0832336,-1.63494e-16
0,0,4,-2.35619,-0.118695,-0.114285,-0.0873517,-1.63494e-16
0,0,5,-2.15984,0.125,-0.0948459,-0.0867326,-1.63494e-16
0,0,6,-1.9635,0.125,-0.0802255,-0.062189,-1.63494e-16
0,0,7,-1.76715,-0.478336,-0.0704243,-0.0968776,-1.63494e-16
0,0,8,-1.5708,-0.271664,-0.0421818,-0.170509,-1.63494e-16
0,0,9,-1.37445,0.125,-0.0034657,-0.184907,-1.63494e-16
0,0,10,-1.1781,0.125,0.0304312,-0.160364,-1.63494e-16
0,0,11,-0.981748,0.125,0.059509,-0.13582,-1.63494e-16
0,0,12,-0.785398,0.125,0.0837676,-0.111276,-1.63494e-16
0,0,13,-0.589049,0.125,0.103207,-0.0867326,-1.63494e-16
0,0,14,-0.392699,0.125,0.117827,-0.062189,-1.63494e-16
0,0,15,-0.19635,0.125,0.127629,-0.0376453,-1.63494e-16
0,0,16,0,0.125,0.132611,-0.0131016,-1.63494e-16
0,0,17,0.19635,0.125,0.132774,0.0114421,-1.63494e-16
0,0,18,0.392699,0.125,0.128117,0.0359858,-1.63494e-16
0,0,19,0.589049,0.125,0.118642,0.0605295,-1.63494e-16
0,0,20,0.785398,-0.367702,0.104348,0.0367023,-1.63494e-16
0,0,21,0.981748,-0.382298,0.104229,-0.0369288,-1.63494e-16
0,0,22,1.1781,0.125,0.118849,-0.062189,-1.63494e-16
0,0,23,1.37445,0.125,0.128651,-0.0376453,-1.63494e-16
0,0,24,1.5708,0.125,0.133633,-0.0131016,-1.63494e-16
0,0,25,1.76715,0.125,0.133796,0.0114421,-1.63494e-16
0,0,26,1.9635,0.125,0.129139,0.0359858,-1.63494e-16
0,0,27,2.15984,0.125,0.119664,0.0605295,-1.63494e-16
0,0,28,2.35619,0.125,0.105369,0.0850732,-1.63494e-16
0,0,29,2.55254,0.125,0.0862558,0.109617,-1.63494e-16
0,0,30,2.74889,0.125,0.062323,0.134161,-1.63494e-16
0,0,31,2.94524,0.125,0.0335711,0.158704,-1.63494e-16
0,0,32,3.14159,0.125,-0,0.183248,-1.63494e-16
0.078748,1,0,-3.14159,0.125,-0,0.180437,-2.07092e-16
0.078748,1,1,-2.94524,0.125,-0.0378383,0.204981,-2.07092e-16
0.078748,1,2,-2.74889,0.0416618,-0.0804957,0.221343,-2.07092e-16
0.078748,1,3,-2.55254,-0.868258,-0.124759,0.140192,-2.07092e-16
0.078748,1,4,-2.35619,-0.798404,-0.135549,-0.0234324,-2.07092e-16
0.078748,1,5,-2.15984,0.125,-0.115557,-0.0895437,-2.07092e-16
0.078748,1,6,-1.9635,0.125,-0.100385,-0.065,-2.07092e-16
0.078748,1,7,-1.76715,-0.567545,-0.0900319,-0.108447,-2.07092e-16
0.078748,1,8,-1.5708,-0.182455,-0.0577981,-0.182078,-2.07092e-16
0.078748,1,9,-1.37445,0.125,-0.0185301,-0.187719,-2.07092e-16
0.078748,1,10,-1.1781,0.125,0.0159188,-0.163175,-2.07092e-16
0.078748,1,11,-0.981748,0.125,0.0455485,-0.138631,-2.07092e-16
0.078748,1,12,-0.785398,0.125,0.0703591,-0.114087,-2.07092e-16
0.078748,1,13,-0.589049,0.125,0.0903505,-0.0895437,-2.07092e-16
0.078748,1,14,-0.392699,0.125,0.105523,-0.065,-2.07092e-16
0.078748,1,15,-0.19635,0.125,0.115876,-0.0404563,-2.07092e-16
0.078748,1,16,0,0.125,0.12141,-0.0159127,-2.07092e-16
0.078748,1,17,0.19635,0.125,0.122125,0.00863104,-2.07092e-16
0.078748,1,18,0.392699,0.125,0.118021,0.0331747,-2.07092e-16
0.078748,1,19,0.589049,0.125,0.109097,0.0577184,-2.07092e-16
0.078748,1,20,0.785398,-0.429161,0.0953546,0.0278575,-2.07092e-16
0.078748,1,21,0.981748,-0.320839,0.0981576,-0.0457736,-2.07092e-16
0.078748,1,22,1.1781,0.125,0.11333,-0.065,-2.07092e-16
0.078748,1,23,1.37445,0.125,0.123683,-0.0404563,-2.07092e-16
0.078748,1,24,1.5708,0.125,0.129217,-0.0159127,-2.07092e-16
0.078748,1,25,1.76715,0.125,0.129932,0.00863104,-2.07092e-16
0.078748,1,26,1.9635,0.125,0.125828,0.0331747,-2.07092e-16
0.078748,1,27,2.15984,0.125,0.116904,0.0577184,-2.07092e-16
0.078748,1,28,2.35619,0.125,0.103162,0.0822621,-2.07092e-16
0.078748,1,29,2.55254,0.125,0.0846,0.106806,-2.07092e-16
0.078748,1,30,2.74889,0.125,0.0612191,0.13135,-2.07092e-16
0.078748,1,31,2.94524,0.125,0.0330191,0.155893,-2.07092e-16
0.078748,1,32,3.14159,0.125,-0,0.180437,-2.07092e-16
0.157496,2,0,-3.14159,0.125,-0,0.177626,-2.07092e-16
0.157496,2,1,-2.94524,0.125,-0.0372863,0.202169,-2.07092e-16
0.157496,2,2,-2.74889,-0.033885,-0.0793918,0.211115,-2.07092e-16
0.157496,2,3,-2.55254,-0.716115,-0.120191,0.137484,-2.07092e-16
0.157496,2,4,-2.35619,-0.271542,-0.133381,0.0405206,-2.07092e-16
0.157496,2,5,-2.15984,-0.478458,-0.136103,-0.0331105,-2.07092e-16
0.157496,2,6,-1.9635,0.125,-0.120379,-0.0678111,-2.07092e-16
0.157496,2,7,-1.76715,-0.652615,-0.109474,-0.11961,-2.07092e-16
0.157496,2,8,-1.5708,-0.0973851,-0.0734084,-0.193241,-2.07092e-16
0.157496,2,9,-1.37445,0.125,-0.0335885,-0.19053,-2.07092e-16
0.157496,2,10,-1.1781,0.125,0.00141236,-0.165986,-2.07092e-16
0.157496,2,11,-0.981748,0.125,0.031594,-0.141442,-2.07092e-16
0.157496,2,12,-0.785398,0.125,0.0569566,-0.116899,-2.07092e-16
0.157496,2,13,-0.589049,0.125,0.0775,-0.0923548,-2.07092e-16
0.157496,2,14,-0.392699,0.125,0.0932242,-0.0678111,-2.07092e-16
0.157496,2,15,-0.19635,0.125,0.104129,-0.0432674,-2.07092e-16
0.157496,2,16,0,0.125,0.110215,-0.0187237,-2.07092e-16
0.157496,2,17,0.19635,0.125,0.111482,0.00581996,-2.07092e-16
0.157496,2,18,0.392699,0.125,0.10793,0.0303636,-2.07092e-16
0.157496,2,19,0.589049,0.125,0.0995584,0.0549073,-2.07092e-16
0.157496,2,20,0.785398,-0.490463,0.0863678,0.0190281,-2.07092e-16
0.157496,2,21,0.981748,-0.259537,0.0920861,-0.054603,-2.07092e-16
0.157496,2,22,1.1781,0.125,0.10781,-0.0678111,-2.07092e-16
0.157496,2,23,1.37445,0.125,0.118715,-0.0432674,-2.07092e-16
0.157496,2,24,1.5708,0.125,0.124801,-0.0187237,-2.07092e-16
0.157496,2,25,1.76715,0.125,0.126068,0.00581996,-2.07092e-16
0.157496,2,26,1.9635,0.125,0.122516,0.0303636,-2.07092e-16
0.157496,2,27,2.15984,0.125,0.114144,0.0549073,-2.07092e-16
0.157496,2,28,2.35619,0.125,0.100954,0.079451,-2.07092e-16
0.157496,2,29,2.55254,0.125,0.0829441,0.103995,-2.07092e-16
0.157496,2,30,2.74889,0.125,0.0601152,0.128538,-2.07092e-16
0.157496,2,31,2.94524,0.125,0.0324672,0.153082,-2.07092e-16
0.157496,2,32,3.14159,0.125,-0,0.177626,-2.07092e-16
0.236244,3,0,-3.14159,0.125,-0,0.174815,1.68944e-16
0.236244,3,1,-2.94524,0.125,-0.0367344,0.199358,1.68944e-16
0.236244,3,2,-2.74889,-0.114143,-0.0782879,0.200424,1.68944e-16
0.236244,3,3,-2.55254,-0.635857,-0.115441,0.126793,1.68944e-16
0.236244,3,4,-2.35619,0.125,-0.128079,0.07664,1.68944e-16
0.236244,3,5,-2.15984,-0.591365,-0.145537,0.0308547,1.68944e-16
0.236244,3,6,-1.9635,-0.158635,-0.140196,-0.0427764,1.68944e-16
0.236244,3,7,-1.76715,-0.73339,-0.128739,-0.130351,1.68944e-16
0.236244,3,8,-1.5708,-0.0166105,-0.0890074,-0.203982,1.68944e-16
0.236244,3,9,-1.37445,0.125,-0.0486355,-0.193341,1.68944e-16
0.236244,3,10,-1.1781,0.125,-0.0130827,-0.168797,1.68944e-16
0.236244,3,11,-0.981748,0.125,0.0176509,-0.144253,1.68944e-16
0.236244,3,12,-0.785398,0.125,0.0435654,-0.11971,1.68944e-16
0.236244,3,13,-0.589049,0.125,0.0646607,-0.0951659,1.68944e-16
0.236244,3,14,-0.392699,0.125,0.080937,-0.0706222,1.68944e-16
0.236244,3,15,-0.19635,0.125,0.092394,-0.0460785,1.68944e-16
0.236244,3,16,0,0.125,0.0990319,-0.0215348,1.68944e-16
0.236244,3,17,0.19635,0.125,0.100851,0.00300887,1.68944e-16
0.236244,3,18,0.392699,0.125,0.0978504,0.0275526,1.68944e-16
0.236244,3,19,0.589049,0.125,0.0900309,0.0520963,1.68944e-16
0.236244,3,20,0.785398,-0.551472,0.0773922,0.0102274,1.68944e-16
0.236244,3,21,0.981748,-0.198528,0.0860146,-0.0634037,1.68944e-16
0.236244,3,22,1.1781,0.125,0.102291,-0.0706222,1.68944e-16
0.236244,3,23,1.37445,0.125,0.113748,-0.0460785,1.68944e-16
0.236244,3,24,1.5708,0.125,0.120386,-0.0215348,1.68944e-16
0.236244,3,25,1.76715,0.125,0.122205,0.00300887,1.68944e-16
0.236244,3,26,1.9635,0.125,0.119204,0.0275526,1.68944e-16
0.236244,3,27,2.15984,0.125,0.111385,0.0520963,1.68944e-16
0.236244,3,28,2.35619,0.125,0.098746,0.07664,1.68944e-16
0.236244,3,29,2.55254,0.125,0.0812882,0.101184,1.68944e-16
0.236244,3,30,2.74889,0.125,0.0590113,0.125727,1.68944e-16
0.236244,3,31,2.94524,0.125,0.0319152,0.150271,1.68944e-16
0.236244,3,32,3.14159,0.125,-0,0.174815,1.68944e-16
0.314992,4,0,-3.14159,0.125,-0,0.172004,1.25345e-16
0.314992,4,1,-2.94524,0.125,-0.0361824,0.196547,1.25345e-16
0.314992,4,2,-2.74889,-0.198962,-0.077184,0.189286,1.25345e-16
0.314992,4,3,-2.55254,-0.551038,-0.110515,0.115655,1.25345e-16
0.314992,4,4,-2.35619,0.125,-0.122602,0.0738289,1.25345e-16
0.314992,4,5,-2.15984,0.0884976,-0.139507,0.0947889,1.25345e-16
0.314992,4,6,-1.9635,-0.838498,-0.159825,0.0211579,1.25345e-16
0.314992,4,7,-1.76715,-0.809718,-0.147816,-0.140655,1.25345e-16
0.314992,4,8,-1.5708,0.059718,-0.10459,-0.214286,1.25345e-16
0.314992,4,9,-1.37445,0.125,-0.063666,-0.196152,1.25345e-16
0.314992,4,10,-1.1781,0.125,-0.0275613,-0.171608,1.25345e-16
0.314992,4,11,-0.981748,0.125,0.00372431,-0.147064,1.25345e-16
0.314992,4,12,-0.785398,0.125,0.0301908,-0.122521,1.25345e-16
0.314992,4,13,-0.589049,0.125,0.0518381,-0.097977,1.25345e-16
0.314992,4,14,-0.392699,0.125,0.0686662,-0.0734333,1.25345e-16
0.314992,4,15,-0.19635,0.125,0.0806753,-0.0488896,1.25345e-16
0.314992,4,16,0,0.125,0.0878651,-0.0243459,1.25345e-16
0.314992,4,17,0.19635,0.125,0.0902359,0.000197792,1.25345e-16
0.314992,4,18,0.392699,0.125,0.0877875,0.0247415,1.25345e-16
0.314992,4,19,0.589049,0.125,0.0805199,0.0492852,1.25345e-16
0.314992,4,20,0.785398,-0.612052,0.0684332,0.00146894,1.25345e-16
0.314992,4,21,0.981748,-0.137948,0.0799431,-0.0721621,1.25345e-16
0.314992,4,22,1.1781,0.125,0.0967712,-0.0734333,1.25345e-16
0.314992,4,23,1.37445,0.125,0.10878,-0.0488896,1.25345e-16
0.314992,4,24,1.5708,0.125,0.11597,-0.0243459,1.25345e-16
0.314992,4,25,1.76715,0.125,0.118341,0.000197792,1.25345e-16
0.314992,4,26,1.9635,0.125,0.115892,0.0247415,1.25345e-16
0.314992,4,27,2.15984,0.125,0.108625,0.0492852,1.25345e-16
0.314992,4,28,2.35619,0.125,0.0965382,0.0738289,1.25345e-16
0.314992,4,29,2.55254,0.125,0.0796324,0.0983726,1.25345e-16
0.314992,4,30,2.74889,0.125,0.0579074,0.122916,1.25345e-16
0.314992,4,31,2.94524,0.125,0.0313633,0.14746,1.25345e-16
0.314992,4,32,3.14159,0.125,-0,0.172004,1.25345e-16
0.39374,5,0,-3.14159,0.125,-0,0.169193,-4.35984e-17
0.39374,5,1,-2.94524,0.125,-0.0356305,0.193736,-4.35984e-17
0.39374,5,2,-2.74889,-0.288188,-0.07608,0.177715,-4.35984e-17
0.39374,5,3,-2.55254,-0.461812,-0.105419,0.104084,-4.35984e-17
0.39374,5,4,-2.35619,0.125,-0.116954,0.0710178,-4.35984e-17
0.39374,5,5,-2.15984,0.125,-0.133308,0.0955615,-4.35984e-17
0.39374,5,6,-1.9635,-0.238846,-0.154481,0.0843847,-4.35984e-17
0.39374,5,7,-1.76715,-1.51115,-0.166446,-0.0874211,-4.35984e-17
0.39374,5,8,-1.5708,0.125,-0.120151,-0.223507,-4.35984e-17
0.39374,5,9,-1.37445,0.125,-0.0786747,-0.198963,-4.35984e-17
0.39374,5,10,-1.1781,0.125,-0.042018,-0.174419,-4.35984e-17
0.39374,5,11,-0.981748,0.125,-0.0101805,-0.149875,-4.35984e-17
0.39374,5,12,-0.785398,0.125,0.0168379,-0.125332,-4.35984e-17
0.39374,5,13,-0.589049,0.125,0.0390372,-0.100788,-4.35984e-17
0.39374,5,14,-0.392699,0.125,0.0564173,-0.0762444,-4.35984e-17
0.39374,5,15,-0.19635,0.125,0.0689783,-0.0517007,-4.35984e-17
0.39374,5,16,0,0.125,0.0767201,-0.027157,-4.35984e-17
0.39374,5,17,0.19635,0.125,0.0796428,-0.00261329,-4.35984e-17
0.39374,5,18,0.392699,0.125,0.0777463,0.0219304,-4.35984e-17
0.39374,5,19,0.589049,0.125,0.0710307,0.0464741,-4.35984e-17
0.39374,5,20,0.785398,-0.672067,0.059496,-0.00723407,-4.35984e-17
0.39374,5,21,0.981748,-0.0779332,0.0738716,-0.0808651,-4.35984e-17
0.39374,5,22,1.1781,0.125,0.0912517,-0.0762444,-4.35984e-17
0.39374,5,23,1.37445,0.125,0.103813,-0.0517007,-4.35984e-17
0.39374,5,24,1.5708,0.125,0.111554,-0.027157,-4.35984e-17
0.39374,5,25,1.76715,0.125,0.114477,-0.00261329,-4.35984e-17
0.39374,5,26,1.9635,0.125,0.112581,0.0219304,-4.35984e-17
0.39374,5,27,2.15984,0.125,0.105865,0.0464741,-4.35984e-17
0.39374,5,28,2.35619,0.125,0.0943304,0.0710178,-4.35984e-17
0.39374,5,29,2.55254,0.125,0.0779765,0.0955615,-4.35984e-17
0.39374,5,30,2.74889,0.125,0.0568035,0.120105,-4.35984e-17
0.39374,5,31,2.94524,0.125,0.0308113,0.144649,-4.35984e-17
0.39374,5,32,3.14159,0.125,-0,0.169193,-4.35984e-17
0.472488,6,0,-3.14159,0.125,-0,0.166381,0
0.472488,6,1,-2.94524,0.125,-0.0350785,0.190925,0
0.472488,6,2,-2.74889,-0.381661,-0.0749761,0.165728,0
0.472488,6,3,-2.55254,-0.368339,-0.10016,0.0920965,0
0.472488,6,4,-2.35619,0.125,-0.111142,0.0682067,0
0.472488,6,5,-2.15984,0.125,-0.126944,0.0927504,0
0.472488,6,6,-1.9635,0.0495391,-0.147565,0.109886,0
0.472488,6,7,-1.76715,-1.477,-0.170096,-0.030255,0
0.472488,6,8,-1.5708,-0.197538,-0.135684,-0.194653,0
0.472488,6,9,-1.37445,0.125,-0.0936564,-0.201774,0
0.472488,6,10,-1.1781,0.125,-0.0564478,-0.17723,0
0.472488,6,11,-0.981748,0.125,-0.0240583,-0.152687,0
0.472488,6,12,-0.785398,0.125,0.00351207,-0.128143,0
0.472488,6,13,-0.589049,0.125,0.0262633,-0.103599,0
0.472488,6,14,-0.392699,0.125,0.0441954,-0.0790555,0
0.472488,6,15,-0.19635,0.125,0.0573083,-0.0545118,0
0.472488,6,16,0,0.125,0.0656021,-0.0299681,0
0.472488,6,17,0.19635,0.125,0.0690767,-0.00542437,0
0.472488,6,18,0.392699,0.125,0.0677322,0.0191193,0
0.472488,6,19,0.589049,0.125,0.0615686,0.043663,0
0.472488,6,20,0.785398,-0.731381,0.0505858,-0.0158683,0
0.472488,6,21,0.981748,-0.0186189,0.0678001,-0.0894994,0
0.472488,6,22,1.1781,0.125,0.0857321,-0.0790555,0
0.472488,6,23,1.37445,0.125,0.0988451,-0.0545118,0
0.472488,6,24,1.5708,0.125,0.107139,-0.0299681,0
0.472488,6,25,1.76715,0.125,0.110613,-0.00542437,0
0.472488,6,26,1.9635,0.125,0.109269,0.0191193,0
0.472488,6,27,2.15984,0.125,0.103105,0.043663,0
0.472488,6,28,2.35619,0.125,0.0921226,0.0682067,0
0.472488,6,29,2.55254,0.125,0.0763206,0.0927504,0
0.472488,6,30,2.74889,0.125,0.0556996,0.117294,0
0.472488,6,31,2.94524,0.125,0.0302594,0.141838,0
0.472488,6,32,3.14159,0.125,-0,0.166381,0
0.551236,7,0,-3.14159,0.125,-0,0.16357,-4.63233e-17
0.551236,7,1,-2.94524,0.125,-0.0345265,0.188114,-4.63233e-17
0.551236,7,2,-2.74889,-0.479221,-0.0738722,0.153339,-4.63233e-17
0.551236,7,3,-2.55254,-0.270779,-0.0947424,0.0797075,-4.63233e-17
0.551236,7,4,-2.35619,0.125,-0.105173,0.0653956,-4.63233e-17
0.551236,7,5,-2.15984,0.125,-0.120423,0.0899393,-4.63233e-17
0.551236,7,6,-1.9635,-0.0188478,-0.140492,0.100361,-4.63233e-17
0.551236,7,7,-1.76715,-0.731152,-0.159835,0.0267297,-4.63233e-17
0.551236,7,8,-1.5708,-0.869901,-0.150989,-0.130453,-4.63233e-17
0.551236,7,9,-1.37445,0.119901,-0.108606,-0.204084,-4.63233e-17
0.551236,7,10,-1.1781,0.125,-0.0708453,-0.180041,-4.63233e-17
0.551236,7,11,-0.981748,0.125,-0.0379039,-0.155498,-4.63233e-17
0.551236,7,12,-0.785398,0.125,-0.00978158,-0.130954,-4.63233e-17
0.551236,7,13,-0.589049,0.125,0.0135216,-0.10641,-4.63233e-17
0.551236,7,14,-0.392699,0.125,0.0320056,-0.0818665,-4.63233e-17
0.551236,7,15,-0.19635,0.125,0.0456705,-0.0573228,-4.63233e-17
0.551236,7,16,0,0.125,0.0545162,-0.0327791,-4.63233e-17
0.551236,7,17,0.19635,0.125,0.0585428,-0.00823545,-4.63233e-17
0.551236,7,18,0.392699,0.125,0.0577503,0.0163082,-4.63233e-17
