t,n,i,position,velocity,E_i
0,0,0,-0.811904,1.03133,0.021264
0,0,1,-0.631511,0.420359,-0.179565
0,0,2,-0.852862,1.20477,0.0615314
0,0,3,-2.87481,-0.346473,0.09677
0.078748,1,0,-0.730886,1.02882,0.021264
0.078748,1,1,-0.596738,0.441569,-0.179565
0.078748,1,2,-0.758561,1.19751,0.0615314
0.078748,1,3,-2.90299,-0.357903,0.09677
0.157496,2,0,-0.64999,1.02728,0.0196127
0.157496,2,1,-0.560943,0.45455,-0.16484
0.157496,2,2,-0.664617,1.19297,0.0576654
0.157496,2,3,-2.93172,-0.364799,0.0875624
0.236244,3,0,-0.569117,1.02699,0.00365192
0.236244,3,1,-0.524499,0.462792,-0.104656
0.236244,3,2,-0.570814,1.19118,0.0227171
0.236244,3,3,-2.96093,-0.370964,0.0782869
0.314992,4,0,-0.488227,1.02719,-0.00260151
0.314992,4,1,-0.487659,0.467832,-0.0640061
0.314992,4,2,-0.47701,1.1912,-0.000265451
0.314992,4,3,-2.99056,-0.376256,0.0672017
0.39374,5,0,-0.407259,1.02819,-0.0126915
0.39374,5,1,-0.450734,0.468893,-0.0134756
0.39374,5,2,-0.383031,1.19341,-0.0281561
0.39374,5,3,-3.02053,-0.380539,0.0543911
0.472488,6,0,-0.326146,1.03004,-0.0234506
0.472488,6,1,-0.41403,0.466096,0.0355175
0.472488,6,2,-0.288712,1.19773,-0.0547642
0.472488,6,3,-3.05075,-0.383793,0.0413293
0.551236,7,0,-0.244844,1.03243,-0.0303263
0.551236,7,1,-0.377812,0.459924,0.0783738
0.551236,7,2,-0.193897,1.20403,-0.0800785
0.551236,7,3,-3.08114,-0.386,0.0280202
0.629984,8,0,-0.163259,1.03602,-0.0456425
0.629984,8,1,-0.342448,0.449073,0.137796
0.629984,8,2,-0.0983715,1.21305,-0.114507
0.629984,8,3,-3.11163,-0.38714,0.014475
0.708732,9,0,-0.0813948,1.03958,-0.0451442
0.708732,9,1,-0.307968,0.437849,0.14254
0.708732,9,2,-0.00215725,1.2218,-0.111084
0.708732,9,3,-3.14212,-0.387196,0.00071187
0.78748,10,0,0.00070341,1.04254,-0.0376614
0.78748,10,1,-0.274462,0.425495,0.156873
0.78748,10,2,0.0948341,1.23167,-0.125329
0.78748,10,3,3.11065,-0.386168,-0.0130573
0.866229,11,0,0.0830774,1.04604,-0.0444725
0.866229,11,1,-0.242023,0.411934,0.172213
0.866229,11,2,0.19262,1.24175,-0.128076
0.866229,11,3,3.08032,-0.385187,-0.0124578
0.944977,12,0,0.165656,1.04865,-0.0330495
0.944977,12,1,-0.210635,0.398581,0.169561
0.944977,12,2,0.291212,1.252,-0.130077
