t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0,0,0,12,-0.785398,-0.785398,0,-0.0490874
0,0,1,20,0.785398,0.785398,0,0.0490874
0.111367,1,0,11,-0.981748,-0.785703,-0.00273335,-0.0490684
0.111367,1,1,20,0.785398,0.785703,0.00273335,0.0490684
0.222733,2,0,11,-0.981748,-0.786616,-0.00819792,-0.0490113
0.222733,2,1,20,0.785398,0.786616,0.00819792,0.0490113
0.3341,3,0,11,-0.981748,-0.788136,-0.0136561,-0.0489162
0.3341,3,1,20,0.785398,0.788136,0.0136561,0.0489162
0.445466,4,0,11,-0.981748,-0.790264,-0.0191038,-0.0487833
0.445466,4,1,20,0.785398,0.790264,0.0191038,0.0487833
0.556833,5,0,11,-0.981748,-0.792996,-0.0245366,-0.0486125
0.556833,5,1,20,0.785398,0.792996,0.0245366,0.0486125
0.668199,6,0,11,-0.981748,-0.796332,-0.0299504,-0.048404
0.668199,6,1,20,0.785398,0.796332,0.0299504,0.048404
0.779566,7,0,11,-0.981748,-0.800268,-0.035341,-0.048158
0.779566,7,1,20,0.785398,0.800268,0.035341,0.048158
0.890932,8,0,11,-0.981748,-0.804801,-0.0407042,-0.0478747
0.890932,8,1,20,0.785398,0.804801,0.0407042,0.0478747
1.0023,9,0,11,-0.981748,-0.809928,-0.0460358,-0.0475543
1.0023,9,1,20,0.785398,0.809928,0.0460358,0.0475543
1.11367,10,0,11,-0.981748,-0.815644,-0.0513318,-0.047197
1.11367,10,1,20,0.785398,0.815644,0.0513318,0.047197
1.22503,11,0,11,-0.981748,-0.821946,-0.056588,-0.0468031
1.22503,11,1,20,0.785398,0.821946,0.056588,0.0468031
1.3364,12,0,11,-0.981748,-0.828829,-0.0618003,-0.046373
1.3364,12,1,20,0.785398,0.828829,0.0618003,0.046373
1.44777,13,0,11,-0.981748,-0.836286,-0.0669647,-0.0459069
1.44777,13,1,20,0.785398,0.836286,0.0669647,0.0459069
1.55913,14,0,11,-0.981748,-0.844313,-0.0720772,-0.0454052
1.55913,14,1,20,0.785398,0.844313,0.0720772,0.0454052
1.6705,15,0,11,-0.981748,-0.852904,-0.0771338,-0.0448683
1.6705,15,1,20,0.785398,0.852904,0.0771338,0.0448683
1.78186,16,0,11,-0.981748,-0.86205,-0.0821306,-0.0442966
1.78186,16,1,20,0.785398,0.86205,0.0821306,0.0442966
1.89323,17,0,11,-0.981748,-0.871746,-0.0870638,-0.0436906
