t,n,i,position,velocity,E_i
0,0,0,-2.50469,1.6997,0.0416629
0,0,1,-2.55499,-0.166746,0.0850722
0,0,2,0.885006,-0.153319,-0.0006506
0,0,3,-1.68926,-0.237327,-0.126084
0.078748,1,0,-2.37123,1.69478,0.0416629
0.078748,1,1,-2.56891,-0.176795,0.0850722
0.078748,1,2,0.872938,-0.153242,-0.0006506
0.078748,1,3,-1.70678,-0.222434,-0.126084
0.157496,2,0,-2.23771,1.69564,-0.0108995
0.157496,2,1,-2.58374,-0.188368,0.146955
0.157496,2,2,0.860902,-0.152851,-0.00497012
0.157496,2,3,-1.72348,-0.212111,-0.131085
0.236244,3,0,-2.10415,1.69595,-0.00391265
0.236244,3,1,-2.5995,-0.200115,0.149182
0.236244,3,2,0.848923,-0.152119,-0.00928579
0.236244,3,3,-1.73934,-0.201403,-0.135984
0.314992,4,0,-1.97066,1.69516,0.00997033
0.314992,4,1,-2.61615,-0.211487,0.144402
0.314992,4,2,0.837028,-0.151049,-0.0135943
0.314992,4,3,-1.75433,-0.190317,-0.140778
0.39374,5,0,-1.83732,1.69328,0.0238456
0.39374,5,1,-2.63367,-0.222473,0.139509
0.39374,5,2,0.825244,-0.14964,-0.0178922
0.39374,5,3,-1.76841,-0.178862,-0.145462
0.472488,6,0,-1.70382,1.69533,-0.0260189
0.472488,6,1,-2.65203,-0.233065,0.134508
0.472488,6,2,0.813598,-0.147894,-0.0221763
0.472488,6,3,-1.78196,-0.172065,-0.0863126
0.551236,7,0,-1.5698,1.70189,-0.0832795
0.551236,7,1,-2.67118,-0.243255,0.129402
0.551236,7,2,0.802115,-0.145811,-0.0264431
0.551236,7,3,-1.79539,-0.170515,-0.0196799
0.629984,8,0,-1.43496,1.71219,-0.130829
0.629984,8,1,-2.69111,-0.253036,0.124197
0.629984,8,2,0.790823,-0.143394,-0.0306895
0.629984,8,3,-1.80905,-0.173454,0.0373214
0.708732,9,0,-1.29941,1.72139,-0.116786
0.708732,9,1,-2.71177,-0.262398,0.118895
0.708732,9,2,0.779748,-0.140645,-0.0349121
0.708732,9,3,-1.82291,-0.176037,0.0328029
0.78748,10,0,-1.16321,1.72947,-0.102652
0.78748,10,1,-2.73314,-0.271336,0.113501
0.78748,10,2,0.768915,-0.137566,-0.0391076
0.78748,10,3,-1.83695,-0.178263,0.028259
0.866229,11,0,-1.02647,1.73644,-0.0884394
0.866229,11,1,-2.75518,-0.279843,0.108019
0.866229,11,2,0.75835,-0.134158,-0.0432728
0.866229,11,3,-1.85113,-0.180128,0.0236932
0.944977,12,0,-0.889272,1.74228,-0.0741579
0.944977,12,1,-2.77785,-0.287911,0.102453
0.944977,12,2,0.748079,-0.130425,-0.0474045
0.944977,12,3,-1.86544,-0.181633,0.019109
1.02372,13,0,-0.7517,1.74699,-0.0598188
1.02372,13,1,-2.80112,-0.295534,0.0968082
1.02372,13,2,0.738128,-0.126369,-0.0514994
1.02372,13,3,-1.87983,-0.182776,0.01451
1.10247,14,0,-0.613847,1.75057,-0.0454334
1.10247,14,1,-2.82496,-0.302707,0.0910881
1.10247,14,2,0.728521,-0.121995,-0.0555544
1.10247,14,3,-1.89429,-0.183555,0.00989977
1.18122,15,0,-0.475801,1.75301,-0.0310128
1.18122,15,1,-2.84933,-0.309424,0.0852973
1.18122,15,2,0.719284,-0.117304,-0.0595663
1.18122,15,3,-1.90877,-0.183971,0.00528186
1.25997,16,0,-0.337652,1.75431,-0.0165681
1.25997,16,1,-2.87418,-0.31568,0.0794404
1.25997,16,2,0.71044,-0.112301,-0.0635321
1.25997,16,3,-1.92326,-0.184023,0.000659857
1.33872,17,0,-0.19949,1.75448,-0.00211061
1.33872,17,1,-2.8995,-0.321469,0.0735219
1.33872,17,2,0.702015,-0.106989,-0.0674486
1.33872,17,3,-1.93773,-0.183711,-0.00396266
1.41746,18,0,-0.0614049,1.75351,0.0123485
1.41746,18,1,-2.92523,-0.326789,0.0675464
1.41746,18,2,0.694032,-0.101374,-0.0713129
1.41746,18,3,-1.95215,-0.183035,-0.00858211
