t,n,j,x_grid,rho,phi,E_j,Q_net
0,0,0,-3.14159,0.0625,0.00240957,0.00306796,2.31616e-16
0,0,1,-2.94524,0.0625,0.00120479,0.0122718,2.31616e-16
0,0,2,-2.74889,0.0625,-0.00240957,0.0245437,2.31616e-16
0,0,3,-2.55254,0.0625,-0.0084335,0.0368155,2.31616e-16
0,0,4,-2.35619,0.0625,-0.016867,0.0490874,2.31616e-16
0,0,5,-2.15984,0.0625,-0.0277101,0.0613592,2.31616e-16
0,0,6,-1.9635,0.0625,-0.0409627,0.0736311,2.31616e-16
0,0,7,-1.76715,0.0625,-0.0566249,0.0859029,2.31616e-16
0,0,8,-1.5708,0.0625,-0.0746967,0.0981748,2.31616e-16
0,0,9,-1.37445,0.0625,-0.0951781,0.110447,2.31616e-16
0,0,10,-1.1781,0.0625,-0.118069,0.122718,2.31616e-16
0,0,11,-0.981748,0.0625,-0.143369,0.13499,2.31616e-16
0,0,12,-0.785398,-0.9375,-0.17108,0.0490874,2.31616e-16
0,0,13,-0.589049,0.0625,-0.162646,-0.0368155,2.31616e-16
0,0,14,-0.392699,0.0625,-0.156622,-0.0245437,2.31616e-16
0,0,15,-0.19635,0.0625,-0.153008,-0.0122718,2.31616e-16
0,0,16,0,0.0625,-0.151803,0,2.31616e-16
0,0,17,0.19635,0.0625,-0.153008,0.0122718,2.31616e-16
0,0,18,0.392699,0.0625,-0.156622,0.0245437,2.31616e-16
0,0,19,0.589049,0.0625,-0.162646,0.0368155,2.31616e-16
0,0,20,0.785398,-0.9375,-0.17108,-0.0490874,2.31616e-16
0,0,21,0.981748,0.0625,-0.143369,-0.13499,2.31616e-16
0,0,22,1.1781,0.0625,-0.118069,-0.122718,2.31616e-16
0,0,23,1.37445,0.0625,-0.0951781,-0.110447,2.31616e-16
0,0,24,1.5708,0.0625,-0.0746967,-0.0981748,2.31616e-16
0,0,25,1.76715,0.0625,-0.0566249,-0.0859029,2.31616e-16
0,0,26,1.9635,0.0625,-0.0409627,-0.0736311,2.31616e-16
0,0,27,2.15984,0.0625,-0.0277101,-0.0613592,2.31616e-16
0,0,28,2.35619,0.0625,-0.016867,-0.0490874,2.31616e-16
0,0,29,2.55254,0.0625,-0.0084335,-0.0368155,2.31616e-16
0,0,30,2.74889,0.0625,-0.00240957,-0.0245437,2.31616e-16
0,0,31,2.94524,0.0625,0.00120479,-0.0122718,2.31616e-16
0,0,32,3.14159,0.0625,0.00240957,-0.00306796,2.31616e-16
0.0282095,1,0,-3.14159,0.125,0.00481914,0.00613592,5.83128e-16
0.0282095,1,1,-2.94524,0.125,0.00240957,0.0245437,5.83128e-16
0.0282095,1,2,-2.74889,0.125,-0.00481914,0.0490874,5.83128e-16
0.0282095,1,3,-2.55254,0.125,-0.016867,0.0736311,5.83128e-16
0.0282095,1,4,-2.35619,0.125,-0.033734,0.0981748,5.83128e-16
0.0282095,1,5,-2.15984,0.125,-0.0554201,0.122718,5.83128e-16
0.0282095,1,6,-1.9635,0.125,-0.0819254,0.147262,5.83128e-16
0.0282095,1,7,-1.76715,0.125,-0.11325,0.171806,5.83128e-16
0.0282095,1,8,-1.5708,0.125,-0.149393,0.19635,5.83128e-16
0.0282095,1,9,-1.37445,0.125,-0.190356,0.220893,5.83128e-16
