t,n,i,position,velocity,E_i
0,0,0,-1.5708,0.01,-0.000191748
0,0,1,1.5708,-0.01,0.00287621
0.111367,1,0,-1.56968,0.010032,-0.000191748
0.111367,1,1,1.56963,-0.0104805,0.00287621
0.222733,2,0,-1.56857,0.0100025,0.000265317
0.222733,2,1,1.5685,-0.010156,-0.00291341
0.3341,3,0,-1.56746,0.00996488,0.000337649
0.3341,3,1,1.5674,-0.00982744,-0.00295043
0.445466,4,0,-1.56635,0.00991937,0.000408698
0.445466,4,1,1.56635,-0.00949476,-0.00298724
0.556833,5,0,-1.56525,0.00986609,0.00047842
0.556833,5,1,1.56533,-0.009158,-0.00302383
0.668199,6,0,-1.56416,0.00980519,0.000546774
0.668199,6,1,1.56434,-0.0088172,-0.00306016
0.779566,7,0,-1.56308,0.00973685,0.000613717
0.779566,7,1,1.5634,-0.00847239,-0.0030962
0.890932,8,0,-1.562,0.00966121,0.000679206
0.890932,8,1,1.5625,-0.0081236,-0.00313193
1.0023,9,0,-1.56093,0.00957844,0.000743203
1.0023,9,1,1.56163,-0.00777086,-0.00316732
1.11367,10,0,-1.55988,0.00948871,0.000805665
1.11367,10,1,1.56081,-0.00741423,-0.00320235
1.22503,11,0,-1.55883,0.00939221,0.000866555
1.22503,11,1,1.56002,-0.00705374,-0.00323698
1.3364,12,0,-1.5578,0.0092891,0.000925833
1.3364,12,1,1.55927,-0.00668944,-0.0032712
1.44777,13,0,-1.55677,0.00917958,0.000983462
1.44777,13,1,1.55857,-0.00632137,-0.00330498
1.55913,14,0,-1.55576,0.00906382,0.00103941
1.55913,14,1,1.55791,-0.0059496,-0.00333831
1.6705,15,0,-1.55477,0.00894203,0.00109363
1.6705,15,1,1.55729,-0.00557416,-0.00337114
1.78186,16,0,-1.55379,0.00881439,0.00114609
1.78186,16,1,1.55671,-0.00519513,-0.00340348
1.89323,17,0,-1.55282,0.00868111,0.00119676
1.89323,17,1,1.55617,-0.00481255,-0.00343528
2.0046,18,0,-1.55187,0.00854239,0.00124561
2.0046,18,1,1.55568,-0.0044265,-0.00346654
2.11596,19,0,-1.55093,0.00839844,0.00129261
2.11596,19,1,1.55523,-0.00403702,-0.00349723
2.22733,20,0,-1.55001,0.00824946,0.00133771
2.22733,20,1,1.55482,-0.0036442,-0.00352734
2.3387,21,0,-1.54911,0.00809568,0.0013809
2.3387,21,1,1.55446,-0.00324808,-0.00355684
2.45006,22,0,-1.54823,0.0079373,0.00142214
2.45006,22,1,1.55415,-0.00284875,-0.00358572
2.56143,23,0,-1.54736,0.00777455,0.0014614
2.56143,23,1,1.55387,-0.00244628,-0.00361397
2.6728,24,0,-1.54652,0.00760765,0.00149866
2.6728,24,1,1.55365,-0.00204073,-0.00364156
2.78416,25,0,-1.54569,0.00743682,0.0015339
2.78416,25,1,1.55346,-0.00163218,-0.00366848
2.89553,26,0,-1.54488,0.0072623,0.00156707
2.89553,26,1,1.55333,-0.00122072,-0.00369471
3.0069,27,0,-1.54409,0.00708432,0.00159818
3.0069,27,1,1.55324,-0.000806405,-0.00372025
3.11826,28,0,-1.54332,0.00690311,0.00162718
3.11826,28,1,1.55319,-0.000389328,-0.00374508
3.22963,29,0,-1.54257,0.0067189,0.00165406
3.22963,29,1,1.5532,3.04343e-05,-0.00376919
3.341,30,0,-1.54185,0.00653194,0.0016788
3.341,30,1,1.55325,0.0004528,-0.00379257
3.45236,31,0,-1.54114,0.00634246,0.00170138
3.45236,31,1,1.55335,0.000877686,-0.0038152
3.56373,32,0,-1.54045,0.00615071,0.00172177
3.56373,32,1,1.55349,0.00130501,-0.00383708
3.6751,33,0,-1.53979,0.00595694,0.00173998
3.6751,33,1,1.55368,0.00173468,-0.00385821
3.78646,34,0,-1.53915,0.00576138,0.00175597
3.78646,34,1,1.55393,0.00216663,-0.00387856
3.89783,35,0,-1.53853,0.00556429,0.00176973
3.89783,35,1,1.55422,0.00260075,-0.00389814
4.0092,36,0,-1.53793,0.00536592,0.00178125
4.0092,36,1,1.55455,0.00303696,-0.00391694
4.12056,37,0,-1.53736,0.00516652,0.00179053
4.12056,37,1,1.55494,0.00347519,-0.00393495
4.23193,38,0,-1.5368,0.00496633,0.00179754
4.23193,38,1,1.55538,0.00391533,-0.00395218
4.3433,39,0,-1.53627,0.00476562,0.00180227
4.3433,39,1,1.55586,0.0043573,-0.00396861
4.45466,40,0,-1.53576,0.00456463,0.00180473
4.45466,40,1,1.5564,0.00480101,-0.00398425
4.56603,41,0,-1.53528,0.00436362,0.0018049
4.56603,41,1,1.55698,0.00524637,-0.00399909
4.6774,42,0,-1.53481,0.00416286,0.00180278
4.6774,42,1,1.55762,0.0056933,-0.00401313
4.78876,43,0,-1.53437,0.00396258,0.00179836
4.78876,43,1,1.5583,0.00614171,-0.00402638
4.90013,44,0,-1.53395,0.00376305,0.00179164
4.90013,44,1,1.55903,0.0065915,-0.00403884
5.0115,45,0,-1.53356,0.00356453,0.00178261
5.0115,45,1,1.55982,0.00704259,-0.0040505
5.12286,46,0,-1.53318,0.00336727,0.00177128
5.12286,46,1,1.56065,0.00749489,-0.00406137
5.23423,47,0,-1.53283,0.00317152,0.00175765
5.23423,47,1,1.56154,0.00794831,-0.00407146
5.34559,48,0,-1.5325,0.00297755,0.00174172
5.34559,48,1,1.56247,0.00840278,-0.00408077
5.45696,49,0,-1.53219,0.00278561,0.00172348
5.45696,49,1,1.56346,0.00885819,-0.00408931
5.56833,50,0,-1.5319,0.00259596,0.00170295
5.56833,50,1,1.5645,0.00931447,-0.00409707
5.67969,51,0,-1.53163,0.00240885,0.00168014
5.67969,51,1,1.56559,0.00977152,-0.00410408
5.79106,52,0,-1.53138,0.00222454,0.00165504
5.79106,52,1,1.56672,0.0102293,-0.00411034
5.90243,53,0,-1.53115,0.00204327,0.00162766
5.90243,53,1,1.56791,0.0106876,-0.00411586
6.01379,54,0,-1.53095,0.0018653,0.00159802
6.01379,54,1,1.56916,0.0111465,-0.00412064
