n,KE,PE,E
0,0.16,7.89349e-06,0.160008
1,0.16,3.40689e-05,0.160034
2,0.159743,0.000113627,0.159857
3,0.159229,0.000244911,0.159474
4,0.158462,0.000427634,0.158889
5,0.157442,0.000662256,0.158104
6,0.156174,0.000948014,0.157122
7,0.154661,0.00128032,0.155942
8,0.15291,0.00166132,0.154572
9,0.150926,0.00208981,0.153016
10,0.148715,0.00256439,0.151279
11,0.146284,0.00308055,0.149365
12,0.143643,0.0036369,0.14728
13,0.140799,0.00423382,0.145032
14,0.137761,0.0048694,0.142631
15,0.134541,0.00554161,0.140082
16,0.131146,0.0062483,0.137395
17,0.12759,0.00698589,0.134576
18,0.123882,0.00774736,0.13163
19,0.120036,0.00853579,0.128572
20,0.116065,0.00934865,0.125413
21,0.111979,0.0101834,0.122163
22,0.107793,0.0110373,0.118831
23,0.10352,0.0119078,0.115428
24,0.0991726,0.0127919,0.111965
25,0.0947653,0.0136871,0.108452
26,0.0903118,0.0145902,0.104902
27,0.0858262,0.0154986,0.101325
28,0.0813226,0.0164094,0.097732
29,0.0768154,0.0173136,0.094129
30,0.0723195,0.0182126,0.0905321
31,0.067849,0.0191052,0.0869542
32,0.063418,0.0199887,0.0834067
33,0.0590406,0.0208601,0.0799007
34,0.0547303,0.0217168,0.0764471
35,0.0505009,0.0225561,0.0730569
36,0.0463654,0.0233753,0.0697407
37,0.0423371,0.0241718,0.0665089
38,0.0384285,0.0249431,0.0633716
39,0.0346519,0.0256868,0.0603387
40,0.0310192,0.0264006,0.0574198
41,0.0275419,0.0270821,0.054624
42,0.0242308,0.0277293,0.05196
43,0.0210963,0.0283401,0.0494364
44,0.0181484,0.0289125,0.047061
45,0.0153964,0.0294448,0.0448412
46,0.0128488,0.0299353,0.0427841
47,0.0105137,0.0303825,0.0408962
48,0.00839844,0.0307848,0.0391833
49,0.0065097,0.0311412,0.0376509
50,0.00485341,0.0314503,0.0363037
51,0.0034348,0.0317113,0.0351461
52,0.00225832,0.0319234,0.0341817
53,0.0013277,0.0320858,0.0334135
54,0.000645871,0.0321981,0.032844
55,0.000214979,0.0322598,0.0324748
56,3.63919e-05,0.0322709,0.0323073
57,0.00011068,0.0322312,0.0323419
58,0.000437619,0.0321409,0.0325786
59,0.00101619,0.0320003,0.0330165
60,0.00184458,0.0318098,0.0336544
61,0.00292019,0.03157,0.0344902
62,0.00423965,0.0312817,0.0355213
63,0.00579882,0.0309457,0.0367446
64,0.00759281,0.0305632,0.038156
65,0.00961597,0.0301353,0.0397513
66,0.011862,0.0296634,0.0415254
67,0.0143237,0.029149,0.0434727
68,0.0169935,0.0285936,0.0455871
69,0.0198629,0.0279991,0.0478621
70,0.022923,0.0273674,0.0502904
71,0.0261641,0.0267003,0.0528644
72,0.029576,0.026,0.055576
73,0.033148,0.0252687,0.0584168
74,0.036869,0.0245088,0.0613778
75,0.0407271,0.0237226,0.0644496
76,0.0447103,0.0229125,0.0676228
77,0.048806,0.0220812,0.0708873
78,0.0530015,0.0212313,0.0742328
79,0.0572835,0.0203654,0.0776489
80,0.0616385,0.0194863,0.0811248
81,0.066053,0.0185968,0.0846497
82,0.0705129,0.0176995,0.0882124
83,0.0750044,0.0167953,0.0917997
84,0.0795129,0.015885,0.0953979
85,0.0840236,0.0149758,0.0989994
86,0.0885222,0.0140707,0.102593
87,0.0929945,0.0131725,0.106167
88,0.0974264,0.0122841,0.10971
89,0.101804,0.0114083,0.113212
90,0.106113,0.0105479,0.116661
91,0.11034,0.00970568,0.120046
92,0.114472,0.00888424,0.123356
93,0.118496,0.00808504,0.126581
94,0.122398,0.00730674,0.129705
95,0.126166,0.00655741,0.132723
96,0.129787,0.00583945,0.135626
97,0.13325,0.00515516,0.138405
98,0.136543,0.00450673,0.14105
99,0.139657,0.00389624,0.143554
100,0.142582,0.00332519,0.145907
101,0.145308,0.00279023,0.148098
102,0.147825,0.00229924,0.150125
103,0.150126,0.00185378,0.15198
104,0.152203,0.00145529,0.153658
105,0.154049,0.00110506,0.155154
106,0.155659,0.000799884,0.156459
107,0.157026,0.000544807,0.157571
108,0.158147,0.00034133,0.158488
109,0.159017,0.00019011,0.159207
110,0.159633,8.86273e-05,0.159722
111,0.159995,4.00099e-05,0.160035
112,0.160099,4.48272e-05,0.160144
113,0.159946,0.000101891,0.160048
114,0.159537,0.000210704,0.159748
115,0.158873,0.000372332,0.159245
116,0.157955,0.000586096,0.158541
117,0.156787,0.000848696,0.157636
118,0.155374,0.00116171,0.156536
119,0.153719,0.00152414,0.155243
120,0.151829,0.00193388,0.153762
121,0.149708,0.00238721,0.152096
122,0.147366,0.00288548,0.150252
123,0.14481,0.00342709,0.148237
124,0.142046,0.00401029,0.146057
125,0.139086,0.00463217,0.143718
126,0.135937,0.00528675,0.141224
127,0.132612,0.00597642,0.138588
128,0.12912,0.00669898,0.135819
129,0.125473,0.00745212,0.132925
130,0.121683,0.00823344,0.129916
131,0.117761,0.00904045,0.126801
132,0.113719,0.00987058,0.12359
133,0.109571,0.0107201,0.120291
134,0.10533,0.0115809,0.116911
135,0.101011,0.0124563,0.113467
136,0.0966259,0.0133436,0.10997
137,0.0921899,0.01424,0.10643
138,0.0877165,0.0151427,0.102859
139,0.0832199,0.0160488,0.0992688
140,0.0787143,0.0169555,0.0956698
141,0.0742139,0.0178598,0.0920736
142,0.0697328,0.0187589,0.0884916
143,0.0652851,0.0196499,0.0849351
144,0.060885,0.0205301,0.0814152
145,0.0565463,0.0213967,0.077943
146,0.0522827,0.0222469,0.0745296
147,0.0481076,0.023078,0.0711856
148,0.0440342,0.0238874,0.0679216
149,0.0400754,0.0246725,0.0647479
150,0.0362437,0.0254309,0.0616746
151,0.0325511,0.0261601,0.0587112
152,0.0290094,0.026855,0.0558644
153,0.0256298,0.027514,0.0531438
154,0.022423,0.0281375,0.0505605
155,0.0193992,0.0287235,0.0481227
156,0.0165679,0.0292701,0.045838
157,0.0139378,0.0297757,0.0437135
158,0.0115173,0.0302387,0.041756
159,0.00931392,0.0306575,0.0399714
160,0.00733461,0.0310309,0.0383655
161,0.00558557,0.0313577,0.0369433
162,0.00407231,0.0316369,0.0357093
163,0.00279956,0.0318676,0.0346672
164,0.00177134,0.0320491,0.0338204
165,0.000990869,0.0321808,0.0331716
166,0.000460611,0.0322622,0.0327228
167,0.000182236,0.0322931,0.0324754
168,0.00015663,0.0322735,0.0324302
169,0.000383881,0.0322034,0.0325873
170,0.00086329,0.032083,0.0329463
171,0.00159336,0.0319126,0.033506
172,0.00257183,0.0316929,0.0342647
173,0.00379562,0.0314244,0.0352201
174,0.00526092,0.0311081,0.0363691
175,0.00696314,0.030745,0.0377081
176,0.00889696,0.0303361,0.039233
177,0.0110563,0.0298827,0.0409391
178,0.0134345,0.0293864,0.0428209
179,0.016024,0.0288485,0.0448725
180,0.0188167,0.0282709,0.0470877
181,0.021804,0.0276554,0.0494593
182,0.0249764,0.0270037,0.0519801
183,0.028324,0.0263182,0.0546421
184,0.0318363,0.0255981,0.0574344
185,0.0355022,0.0248461,0.0603483
186,0.0393098,0.0240669,0.0633766
187,0.0432471,0.0232628,0.0665098
188,0.0473018,0.0224364,0.0697381
189,0.051461,0.0215903,0.0730513
190,0.0557116,0.0207273,0.0764389
191,0.0600402,0.01985,0.0798902
192,0.0644333,0.0189612,0.0833945
193,0.0688768,0.0180638,0.0869406
194,0.0733569,0.0171605,0.0905175
195,0.0778594,0.0162543,0.0941137
196,0.0823701,0.015348,0.0977181
197,0.0868749,0.0144445,0.101319
198,0.0913594,0.0135466,0.104906
199,0.0958097,0.0126571,0.108467
200,0.100212,0.0117734,0.111985
201,0.10455,0.0109031,0.115453
202,0.108812,0.01005,0.118862
203,0.112983,0.00921692,0.122199
204,0.117049,0.00840655,0.125456
205,0.120999,0.00762144,0.128621
206,0.12482,0.0068641,0.131684
207,0.128499,0.00613695,0.134636
208,0.132026,0.0054414,0.137467
209,0.135388,0.00477484,0.140162
210,0.138573,0.00414566,0.142719
211,0.141573,0.0035559,0.145129
212,0.144376,0.00300743,0.147384
213,0.146975,0.00250202,0.149477
214,0.149361,0.0020413,0.151403
215,0.151527,0.0016213,0.153148
216,0.153464,0.00124855,0.154712
217,0.155166,0.000924972,0.156091
218,0.156628,0.000651619,0.157279
219,0.157845,0.000428373,0.158273
220,0.158813,0.000253767,0.159067
221,0.159529,0.000131863,0.159661
222,0.15999,6.30571e-05,0.160053
223,0.160194,4.63682e-05,0.160241
224,0.160142,8.17084e-05,0.160224
225,0.159833,0.000170372,0.160003
226,0.159267,0.000311876,0.159579
227,0.158447,0.000504601,0.158952
228,0.157377,0.00074907,0.158126
229,0.156058,0.00104449,0.157103
230,0.154496,0.00138855,0.155885
231,0.152697,0.00178079,0.154478
232,0.150665,0.00222024,0.152885
233,0.148408,0.00270354,0.151112
234,0.145934,0.00322877,0.149163
235,0.143251,0.00379602,0.147047
236,0.140367,0.00440349,0.14477
237,0.137291,0.00504923,0.142341
238,0.134034,0.00573117,0.139766
239,0.130606,0.006441,0.137047
240,0.127019,0.00718043,0.134199
241,0.123284,0.00794878,0.131233
242,0.119413,0.0087436,0.128157
243,0.115419,0.00956238,0.124981
