i,x_i,v_i,E_i
0,-3.09277,-0.00350405,-3.12041e-05
1,-2.9947,-0.0104955,-9.38873e-05
2,-2.89747,-0.018366,0.000817949
3,-2.79659,-0.0265086,0.0031244
4,-2.70188,-0.036959,0.0063499
5,-2.61028,-0.0486422,0.0112715
6,-2.50359,-0.0586488,0.0171051
7,-2.42766,-0.0721046,0.0214421
8,-2.32037,-0.0776492,0.027493
9,-2.22973,-0.0831793,0.0319984
10,-2.12881,-0.085622,0.0370144
11,-2.03385,-0.0881996,0.0385088
12,-1.93029,-0.0894635,0.0401148
13,-1.83581,-0.092615,0.0391453
14,-1.73395,-0.0938289,0.0379598
15,-1.63668,-0.0952348,0.0373122
16,-1.53817,-0.0954082,0.0367199
17,-1.43897,-0.0940444,0.0371761
18,-1.34376,-0.0926491,0.0378385
19,-1.24245,-0.088705,0.0385518
20,-1.15063,-0.0869865,0.0392009
21,-1.0479,-0.0828211,0.0388238
22,-0.953124,-0.0797226,0.0379299
23,-0.848236,-0.0740382,0.0337887
24,-0.756442,-0.0710059,0.0283908
25,-0.642065,-0.058061,0.019986
26,-0.550538,-0.0520626,0.0123211
27,-0.444444,-0.0401273,0.00579286
28,-0.341706,-0.0284389,0.0010773
29,-0.243528,-0.0197221,-0.000886522
30,-0.145888,-0.0113754,-0.00126465
31,-0.0481774,-0.00353467,-0.000683223
32,0.0481774,0.00353467,0.000683223
33,0.145888,0.0113754,0.00126465
34,0.243528,0.0197221,0.000886522
35,0.341706,0.0284389,-0.0010773
36,0.444444,0.0401273,-0.00579286
37,0.550538,0.0520626,-0.0123211
38,0.642065,0.058061,-0.019986
39,0.756442,0.0710059,-0.0283908
40,0.848236,0.0740382,-0.0337887
41,0.953124,0.0797226,-0.0379299
42,1.0479,0.0828211,-0.0388238
43,1.15063,0.0869865,-0.0392009
44,1.24245,0.088705,-0.0385518
45,1.34376,0.0926491,-0.0378385
46,1.43897,0.0940444,-0.0371761
47,1.53817,0.0954082,-0.0367199
48,1.63668,0.0952348,-0.0373122
49,1.73395,0.0938289,-0.0379598
50,1.83581,0.092615,-0.0391453
51,1.93029,0.0894635,-0.0401148
52,2.03385,0.0881996,-0.0385088
53,2.12881,0.085622,-0.0370144
54,2.22973,0.0831793,-0.0319984
55,2.32037,0.0776492,-0.027493
56,2.42766,0.0721046,-0.0214421
57,2.50359,0.0586488,-0.0171051
58,2.61028,0.0486422,-0.0112715
59,2.70188,0.036959,-0.0063499
60,2.79659,0.0265086,-0.0031244
61,2.89747,0.018366,-0.000817949
62,2.9947,0.0104955,9.38873e-05
63,3.09277,0.00350405,3.12041e-05
